"Transaction ID,Date,Amount,Description,Reference,Category,Currency,Counterparty,Provider"
"IVY-20250702-0122,2025-07-02,-67.50,ChatGPT Plus subscription,OAI-7823465,Software,USD,OpenAI,Chase Business"
"IVY-20250703-0123,2025-07-03,-89.90,Team building dinner,DELTA-9876551,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250704-0124,2025-07-04,-234.60,Professional voice cloning,EL-5647391,Software,USD,ElevenLabs,Chase Business"
"IVY-20250705-0125,2025-07-05,-178.80,ML pipeline execution,RP-3928484,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250706-0126,2025-07-06,-89.25,Podcast audio enhancement,AC-8472960,Software,USD,ai-coustics,Chase Business"
"IVY-20250707-0127,2025-07-07,-56.99,Data pipeline management,SG-7394861,Software,USD,superglue,Chase Business"
"IVY-20250708-0128,2025-07-08,-298.00,Enterprise DevOps suite,ACI-4758401,Software,USD,ACI.dev,Chase Business"
"IVY-20250709-0129,2025-07-09,-145.70,Smart office analytics,BP-8372955,Software,USD,Beyond Presence,Chase Business"
"IVY-20250710-0130,2025-07-10,-267.90,Hybrid search platform,WV-9384765,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250711-0131,2025-07-11,-398.50,AI research assistant,DUST-7485971,Software,USD,Dust,Chase Business"
"IVY-20250712-0132,2025-07-12,-34.80,Multi-region deployment,FLY-7D908126,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250713-0133,2025-07-13,3250.00,Annual contract payment,STRIPE-7891245,Revenue,USD,Stripe,Chase Business"
"IVY-20250714-0134,2025-07-14,-123.67,CodeCommit repository,AMZ-4567901,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250715-0135,2025-07-15,-78.00,AI fine-tuning service,OAI-7823466,Software,USD,OpenAI,Chase Business"
"IVY-20250716-0136,2025-07-16,-189.99,Executive meeting space,DELTA-9876552,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250717-0137,2025-07-17,-156.70,Enterprise TTS platform,EL-5647392,Software,USD,ElevenLabs,Chase Business"
"IVY-20250718-0138,2025-07-18,-345.60,Large-scale model training,RP-3928485,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250619-0139,2025-06-19,-123.99,Broadcast audio processing,AC-8472961,Software,USD,ai-coustics,Chase Business"
"IVY-20250620-0140,2025-06-20,-67.50,Serverless integration,SG-7394862,Software,USD,superglue,Chase Business"
"IVY-20250621-0141,2025-06-21,-456.00,Enterprise automation platform,ACI-4758402,Software,USD,ACI.dev,Chase Business"
"IVY-20250622-0142,2025-06-22,-234.80,Workspace intelligence,BP-8372956,Software,USD,Beyond Presence,Chase Business"
"IVY-20250623-0143,2025-06-23,-389.70,Multi-modal search engine,WV-9384766,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250624-0144,2025-06-24,-567.90,AI knowledge orchestration,DUST-7485972,Software,USD,Dust,Chase Business"
"IVY-20250625-0145,2025-06-25,-45.60,Edge application hosting,FLY-7D908127,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250626-0146,2025-06-26,2890.50,Professional services,STRIPE-7891246,Revenue,USD,Stripe,Chase Business"
"IVY-20250627-0147,2025-06-27,-234.90,Elasticsearch cluster,AMZ-4567902,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250628-0148,2025-06-28,-89.50,GPT-4 Turbo API,OAI-7823467,Software,USD,OpenAI,Chase Business"
"IVY-20250629-0149,2025-06-29,-267.75,Quarterly team retreat,DELTA-9876553,Meals & Entertainment,USD,The Delta,Chase Business"
"IVY-20250630-0150,2025-06-30,-234.80,Custom voice synthesis,EL-5647393,Software,USD,ElevenLabs,Chase Business"
"IVY-20250601-0151,2025-06-01,-456.90,Distributed training cluster,RP-3928486,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250602-0152,2025-06-02,-178.25,Professional audio mastering,AC-8472962,Software,USD,ai-coustics,Chase Business"
"IVY-20250603-0153,2025-06-03,-89.99,Enterprise API gateway,SG-7394863,Software,USD,superglue,Chase Business"
"IVY-20250604-0154,2025-06-04,-567.00,Platform orchestration suite,ACI-4758403,Software,USD,ACI.dev,Chase Business"
"IVY-20250605-0155,2025-06-05,-345.70,Advanced space analytics,BP-8372957,Software,USD,Beyond Presence,Chase Business"
"IVY-20250606-0156,2025-06-06,-478.90,Enterprise vector operations,WV-9384767,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250607-0157,2025-06-07,-689.50,AI-driven insights platform,DUST-7485973,Software,USD,Dust,Chase Business"
"IVY-20250608-0158,2025-06-08,-56.70,Global CDN acceleration,FLY-7D908128,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250609-0159,2025-06-09,1650.75,Monthly recurring revenue,STRIPE-7891247,Revenue,USD,Stripe,Chase Business"
"IVY-20250610-0160,2025-06-10,-345.67,SageMaker model hosting,AMZ-4567903,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250611-0161,2025-06-11,-123.00,AI assistant development,OAI-7823468,Software,USD,OpenAI,Chase Business"
"IVY-20250612-0162,2025-06-12,-456.80,Corporate conference room,DELTA-9876554,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250613-0163,2025-06-13,-345.90,Multi-speaker voice synthesis,EL-5647394,Software,USD,ElevenLabs,Chase Business"
"IVY-20250614-0164,2025-06-14,-678.40,Enterprise GPU clusters,RP-3928487,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250615-0165,2025-06-15,-234.99,Live audio enhancement,AC-8472963,Software,USD,ai-coustics,Chase Business"
"IVY-20250616-0166,2025-06-16,-123.50,Multi-cloud orchestration,SG-7394864,Software,USD,superglue,Chase Business"
"IVY-20250617-0167,2025-06-17,-789.00,Enterprise CI/CD platform,ACI-4758404,Software,USD,ACI.dev,Chase Business"
"IVY-20250618-0168,2025-06-18,-456.80,Smart building management,BP-8372958,Software,USD,Beyond Presence,Chase Business"
"IVY-20250519-0169,2025-05-19,-567.90,Enterprise search platform,WV-9384768,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250520-0170,2025-05-20,-789.50,AI content management,DUST-7485974,Software,USD,Dust,Chase Business"
"IVY-20250521-0171,2025-05-21,-67.80,High-availability hosting,FLY-7D908129,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250522-0172,2025-05-22,2450.25,Enterprise license revenue,STRIPE-7891248,Revenue,USD,Stripe,Chase Business"
"IVY-20250523-0173,2025-05-23,-456.78,Redshift data warehouse,AMZ-4567904,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250524-0174,2025-05-24,-167.50,Advanced model training,OAI-7823469,Software,USD,OpenAI,Chase Business"
"IVY-20250525-0175,2025-05-25,-589.90,Annual conference venue,DELTA-9876555,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250526-0176,2025-05-26,-456.70,Enterprise voice platform,EL-5647395,Software,USD,ElevenLabs,Chase Business"
"IVY-20250527-0177,2025-05-27,-789.60,Dedicated GPU infrastructure,RP-3928488,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250528-0178,2025-05-28,-345.99,Professional audio suite,AC-8472964,Software,USD,ai-coustics,Chase Business"
"IVY-20250529-0179,2025-05-29,-234.50,Enterprise integration hub,SG-7394865,Software,USD,superglue,Chase Business"
"IVY-20250530-0180,2025-05-30,-987.00,Platform engineering suite,ACI-4758405,Software,USD,ACI.dev,Chase Business"
"IVY-20250501-0181,2025-05-01,-567.80,Enterprise IoT management,BP-8372959,Software,USD,Beyond Presence,Chase Business"
"IVY-20250502-0182,2025-05-02,-678.90,Enterprise vector database,WV-9384769,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250503-0183,2025-05-03,-891.50,AI research platform,DUST-7485975,Software,USD,Dust,Chase Business"
"IVY-20250504-0184,2025-05-04,-78.90,Enterprise edge computing,FLY-7D908130,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250505-0185,2025-05-05,1890.75,Consulting project payment,STRIPE-7891249,Revenue,USD,Stripe,Chase Business"
"IVY-20250506-0186,2025-05-06,-567.89,EMR cluster operations,AMZ-4567905,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250507-0187,2025-05-07,-234.00,AI model optimization,OAI-7823470,Software,USD,OpenAI,Chase Business"
"IVY-20250508-0188,2025-05-08,-678.90,Executive boardroom rental,DELTA-9876556,Venue Rental,USD,The Delta,Chase Business"
"IVY-20250509-0189,2025-05-09,-567.70,Enterprise voice AI,EL-5647396,Software,USD,ElevenLabs,Chase Business"
"IVY-20250510-0190,2025-05-10,-891.60,Large-scale inference,RP-3928489,Cloud Services,USD,Runpod,Chase Business"
"IVY-20250511-0191,2025-05-11,-456.99,Broadcast audio platform,AC-8472965,Software,USD,ai-coustics,Chase Business"
"IVY-20250512-0192,2025-05-12,-345.50,Enterprise microservices,SG-7394866,Software,USD,superglue,Chase Business"
"IVY-20250513-0193,2025-05-13,-1234.00,Enterprise DevOps platform,ACI-4758406,Software,USD,ACI.dev,Chase Business"
"IVY-20250514-0194,2025-05-14,-678.80,Smart facility management,BP-8372960,Software,USD,Beyond Presence,Chase Business"
"IVY-20250515-0195,2025-05-15,-789.90,Enterprise knowledge graph,WV-9384770,Cloud Services,USD,Weaviate,Chase Business"
"IVY-20250516-0196,2025-05-16,-987.50,AI-powered documentation,DUST-7485976,Software,USD,Dust,Chase Business"
"IVY-20250517-0197,2025-05-17,-89.90,Multi-region deployment,FLY-7D908131,Cloud Services,USD,Fly.io Inc.,Chase Business"
"IVY-20250518-0198,2025-05-18,3450.00,Annual subscription renewal,STRIPE-7891250,Revenue,USD,Stripe,Chase Business"
"IVY-20250419-0199,2025-04-19,-789.89,Enterprise data lake,AMZ-4567906,Cloud Services,USD,Amazon,Chase Business"
"IVY-20250420-0200,2025-04-20,-345.00,Advanced AI research API,OAI-7823471,Software,USD,OpenAI,Chase Business"
